,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,StockPrice,T,halley,halley_steps
0,2017-02-17,2017-03-17,22.5,ARR,Call,0.08,0.13956,21.709999,0.07665982203969883,0.13742823770735682,1.0
1,2017-02-17,2017-03-17,20.0,ARR,Put,0.2,0.32783,21.709999,0.07665982203969883,0.3362799110984045,1.0
2,2017-02-17,2017-04-21,21.0,ARR,Call,0.75,0.05176,21.709999,0.17248459958932238,0.06073211326792676,1.0
3,2017-02-17,2017-04-21,22.0,ARR,Call,0.3,0.10719,21.709999,0.17248459958932238,0.11652977926495481,1.0
4,2017-02-17,2017-03-17,180.0,MSG,Put,6.45,0.1838,175.300003,0.07665982203969883,0.18761919509695044,1.0
5,2017-02-17,2017-05-19,185.0,MSG,Call,3.1,0.1844,175.300003,0.24914442162902126,0.1901704179085679,1.0
6,2017-02-17,2017-05-19,170.0,MSG,Put,4.2,0.18729,175.300003,0.24914442162902126,0.19196258829786675,1.0
7,2017-02-17,2017-05-19,175.0,MSG,Put,6.4,0.18516,175.300003,0.24914442162902126,0.19102260606416524,1.0
8,2017-02-17,2017-08-18,170.0,MSG,Put,7.2,0.19569,175.300003,0.4982888432580425,0.20192984741081885,1.0
9,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34132,10.0,0.3258042436687201,0.34859072782440553,1.0
10,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34122,10.0,0.5749486652977412,0.3438056799932879,1.0
11,2017-02-17,2017-03-17,8.0,VNET,Call,0.23,0.56312,7.39,0.07665982203969883,0.5571902334871224,1.0
12,2017-02-17,2017-06-16,7.0,VNET,Call,1.0,0.48476,7.39,0.3258042436687201,0.47989598336597655,1.0
13,2017-02-17,2017-06-16,8.0,VNET,Call,0.55,0.45792,7.39,0.3258042436687201,0.4664835255207093,1.0
14,2017-02-17,2017-07-21,35.0,TWOU,Put,3.4,0.41765,35.93,0.4216290212183436,0.42427243093188194,1.0
15,2017-02-17,2017-03-17,120.0,ABMD,Call,1.75,0.25075,116.57,0.07665982203969883,0.24179493449774933,1.0
16,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34132,10.0,0.3258042436687201,0.34859072782440553,1.0
17,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34122,10.0,0.5749486652977412,0.3438056799932879,1.0
18,2017-02-17,2017-06-16,10.0,FLWS,Call,0.8,0.34132,10.0,0.3258042436687201,0.34859072782440553,1.0
19,2017-02-17,2017-09-15,10.0,FLWS,Call,1.05,0.34122,10.0,0.5749486652977412,0.3438056799932879,1.0
20,2017-02-17,2017-03-17,8.0,VNET,Call,0.23,0.56312,7.39,0.07665982203969883,0.5571902334871224,1.0
21,2017-02-17,2017-06-16,7.0,VNET,Call,1.0,0.48476,7.39,0.3258042436687201,0.47989598336597655,1.0
22,2017-02-17,2017-06-16,8.0,VNET,Call,0.55,0.45792,7.39,0.3258042436687201,0.4664835255207093,1.0
23,2017-02-17,2017-07-21,35.0,TWOU,Put,3.4,0.41765,35.93,0.4216290212183436,0.42427243093188194,1.0
24,2017-02-17,2017-06-16,2.5,AXAS,Call,0.25,0.62259,2.31,0.3258042436687201,0.6152753085038454,1.0
25,2017-02-17,2017-03-17,65.0,ACIA,Call,5.8,0.6907300000000001,66.58000200000001,0.07665982203969883,0.6832031027233786,1.0
26,2017-02-17,2017-03-17,45.0,ACHC,Call,1.1,0.43483,42.59,0.07665982203969883,0.4306766847339369,1.0
27,2017-02-17,2017-09-15,45.0,ACHC,Call,3.4,0.33542,42.59,0.5749486652977412,0.33721230503520055,1.0
28,2017-02-17,2017-02-24,40.0,ACAD,Call,1.0,0.6057899999999999,39.279999,0.01916495550992471,0.6065725123770374,1.0
29,2017-02-17,2017-08-18,25.0,AXDX,Put,7.09,0.93042,23.15,0.4982888432580425,0.9256156206757135,1.0
30,2017-02-17,2017-06-16,6.0,ARAY,Call,0.4,0.46329,5.55,0.3258042436687201,0.45383403079069967,1.0
31,2017-02-17,2017-09-15,22.5,AKAO,Put,5.2,0.79545,22.68,0.5749486652977412,0.791572360670122,1.0
32,2017-02-17,2017-07-21,26.0,ACOR,Call,5.7,0.92108,25.299999,0.4216290212183436,0.9200963767224698,1.0
33,2017-02-17,2017-07-21,27.0,ACOR,Call,5.5,0.94027,25.299999,0.4216290212183436,0.944058773343741,1.0
